order_id,full_name,city,brand_name,STATE,order_date,total_units,revenue,product_name,category_name,store_name,sales_rep
15,Ellsworth Michael,Carmel,Electra,NY,2016-01-09,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel
15,Ellsworth Michael,Carmel,Electra,NY,2016-01-09,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
15,Ellsworth Michael,Carmel,Pure Cycles,NY,2016-01-09,2,898.00,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
15,Ellsworth Michael,Carmel,Trek,NY,2016-01-09,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
16,Lea Key,Banning,Electra,CA,2016-01-12,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Santa Cruz Bikes,Genna Serrano
16,Lea Key,Banning,Electra,CA,2016-01-12,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano
16,Lea Key,Banning,Electra,CA,2016-01-12,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano
16,Lea Key,Banning,Trek,CA,2016-01-12,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
17,Sindy Anderson,Pomona,Electra,CA,2016-01-12,1,299.99,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,Genna Serrano
17,Sindy Anderson,Pomona,Electra,CA,2016-01-12,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano
17,Sindy Anderson,Pomona,Heller,CA,2016-01-12,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
17,Sindy Anderson,Pomona,Trek,CA,2016-01-12,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
18,Lanita Burton,Coachella,Electra,CA,2016-01-14,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,Genna Serrano
18,Lanita Burton,Coachella,Electra,CA,2016-01-14,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Santa Cruz Bikes,Genna Serrano
18,Lanita Burton,Coachella,Ritchey,CA,2016-01-14,2,1499.98,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
18,Lanita Burton,Coachella,Trek,CA,2016-01-14,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Santa Cruz Bikes,Genna Serrano
18,Lanita Burton,Coachella,Trek,CA,2016-01-14,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
19,Norine Huffman,Encino,Surly,CA,2016-01-14,1,1549.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland
19,Norine Huffman,Encino,Trek,CA,2016-01-14,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Santa Cruz Bikes,Mireya Copeland
20,Randee Pitts,Canyon Country,Surly,CA,2016-01-14,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland
20,Randee Pitts,Canyon Country,Trek,CA,2016-01-14,1,2999.99,Trek Conduit+ - 2016,Electric Bikes,Santa Cruz Bikes,Mireya Copeland
21,Neoma Daugherty,Mount Vernon,Electra,NY,2016-01-15,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
21,Neoma Daugherty,Mount Vernon,Pure Cycles,NY,2016-01-15,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
21,Neoma Daugherty,Mount Vernon,Surly,NY,2016-01-15,1,1549.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer
22,Tangela Hurley,Campbell,Electra,CA,2016-01-16,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,Mireya Copeland
22,Tangela Hurley,Campbell,Electra,CA,2016-01-16,2,1059.98,Electra Moto 1 - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland
23,Drucilla Gilliam,Santa Clara,Electra,CA,2016-01-16,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland
23,Drucilla Gilliam,Santa Clara,Electra,CA,2016-01-16,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,Mireya Copeland
23,Drucilla Gilliam,Santa Clara,Trek,CA,2016-01-16,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland
24,Ashton Lott,Floral Park,Pure Cycles,NY,2016-01-18,2,898.00,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
24,Ashton Lott,Floral Park,Surly,NY,2016-01-18,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
25,Sam Lester,Baldwin,Electra,NY,2016-01-18,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer
25,Sam Lester,Baldwin,Electra,NY,2016-01-18,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer
25,Sam Lester,Baldwin,Electra,NY,2016-01-18,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
25,Sam Lester,Baldwin,Electra,NY,2016-01-18,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer
25,Sam Lester,Baldwin,Surly,NY,2016-01-18,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer
26,Jackeline Colon,Wappingers Falls,Electra,NY,2016-01-18,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Venita Daniel
26,Jackeline Colon,Wappingers Falls,Electra,NY,2016-01-18,1,549.99,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
26,Jackeline Colon,Wappingers Falls,Ritchey,NY,2016-01-18,1,749.99,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
26,Jackeline Colon,Wappingers Falls,Trek,NY,2016-01-18,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
27,Pamala Henry,Bronx,Electra,NY,2016-01-19,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel
27,Pamala Henry,Bronx,Heller,NY,2016-01-19,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
27,Pamala Henry,Bronx,Pure Cycles,NY,2016-01-19,1,449.00,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
27,Pamala Henry,Bronx,Trek,NY,2016-01-19,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
28,Eleni Gordon,Richmond Hill,Electra,NY,2016-01-19,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
28,Eleni Gordon,Richmond Hill,Heller,NY,2016-01-19,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
28,Eleni Gordon,Richmond Hill,Surly,NY,2016-01-19,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
28,Eleni Gordon,Richmond Hill,Trek,NY,2016-01-19,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
29,Laureen Barry,Orchard Park,Electra,NY,2016-01-20,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer
29,Laureen Barry,Orchard Park,Electra,NY,2016-01-20,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
29,Laureen Barry,Orchard Park,Electra,NY,2016-01-20,2,1099.98,Electra Townie Original 21D - 2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer
29,Laureen Barry,Orchard Park,Surly,NY,2016-01-20,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
29,Laureen Barry,Orchard Park,Trek,NY,2016-01-20,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
30,Yvone Guerrero,Merrick,Electra,NY,2016-01-20,1,599.99,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer
30,Yvone Guerrero,Merrick,Pure Cycles,NY,2016-01-20,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
30,Yvone Guerrero,Merrick,Pure Cycles,NY,2016-01-20,1,449.00,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
30,Yvone Guerrero,Merrick,Trek,NY,2016-01-20,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
30,Yvone Guerrero,Merrick,Trek,NY,2016-01-20,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
31,Edgar Quinn,Harlingen,Surly,TX,2016-01-20,2,3361.98,Surly Straggler 650b - 2016,Cyclocross Bicycles,Rowlett Bikes,Kali Vargas
31,Edgar Quinn,Harlingen,Trek,TX,2016-01-20,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Rowlett Bikes,Kali Vargas
32,Kimbery Nieves,San Carlos,Electra,CA,2016-01-21,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano
32,Kimbery Nieves,San Carlos,Electra,CA,2016-01-21,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Santa Cruz Bikes,Genna Serrano
32,Kimbery Nieves,San Carlos,Trek,CA,2016-01-21,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
33,Verona O'neill,Selden,Electra,NY,2016-01-21,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer
33,Verona O'neill,Selden,Trek,NY,2016-01-21,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
34,Sarai Mckee,Buffalo,Pure Cycles,NY,2016-01-22,2,858.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
34,Sarai Mckee,Buffalo,Surly,NY,2016-01-22,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer
34,Sarai Mckee,Buffalo,Trek,NY,2016-01-22,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
35,Neville Mcclain,West Hempstead,Electra,NY,2016-01-22,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Venita Daniel
35,Neville Mcclain,West Hempstead,Electra,NY,2016-01-22,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel
35,Neville Mcclain,West Hempstead,Electra,NY,2016-01-22,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
35,Neville Mcclain,West Hempstead,Heller,NY,2016-01-22,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
35,Neville Mcclain,West Hempstead,Pure Cycles,NY,2016-01-22,1,449.00,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
36,Shantel Gregory,West Islip,Heller,NY,2016-01-23,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
36,Shantel Gregory,West Islip,Surly,NY,2016-01-23,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
36,Shantel Gregory,West Islip,Trek,NY,2016-01-23,1,2999.99,Trek Conduit+ - 2016,Electric Bikes,Baldwin Bikes,Marcelene Boyer
37,Tomika Larson,Woodside,Electra,NY,2016-01-25,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
38,Lashandra Turner,Long Beach,Electra,NY,2016-01-25,1,299.99,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel
38,Lashandra Turner,Long Beach,Electra,NY,2016-01-25,1,549.99,Electra Townie Original 21D - 2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel
38,Lashandra Turner,Long Beach,Electra,NY,2016-01-25,1,499.99,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel
38,Lashandra Turner,Long Beach,Surly,NY,2016-01-25,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Venita Daniel
38,Lashandra Turner,Long Beach,Trek,NY,2016-01-25,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
39,Travis Whitley,Saint Albans,Electra,NY,2016-01-25,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel
39,Travis Whitley,Saint Albans,Electra,NY,2016-01-25,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
39,Travis Whitley,Saint Albans,Electra,NY,2016-01-25,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
39,Travis Whitley,Saint Albans,Surly,NY,2016-01-25,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
40,Darren Witt,Coachella,Pure Cycles,CA,2016-01-27,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano
40,Darren Witt,Coachella,Trek,CA,2016-01-27,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano
41,Ingeborg Ellison,Ithaca,Electra,NY,2016-01-27,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer
41,Ingeborg Ellison,Ithaca,Heller,NY,2016-01-27,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
41,Ingeborg Ellison,Ithaca,Pure Cycles,NY,2016-01-27,2,898.00,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
42,Corene Swanson,Rego Park,Pure Cycles,NY,2016-01-27,1,449.00,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
43,Elana Miles,Liverpool,Electra,NY,2016-01-27,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
43,Elana Miles,Liverpool,Electra,NY,2016-01-27,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
44,Olympia Figueroa,Hopewell Junction,Electra,NY,2016-01-28,1,599.99,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
44,Olympia Figueroa,Hopewell Junction,Trek,NY,2016-01-28,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
45,Carissa Cross,Huntington Station,Electra,NY,2016-01-28,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Venita Daniel
45,Carissa Cross,Huntington Station,Electra,NY,2016-01-28,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel
45,Carissa Cross,Huntington Station,Trek,NY,2016-01-28,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
46,Eldridge Greer,Central Islip,Pure Cycles,NY,2016-01-29,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
47,Joshua Berg,Ossining,Electra,NY,2016-01-29,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
47,Joshua Berg,Ossining,Electra,NY,2016-01-29,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
47,Joshua Berg,Ossining,Electra,NY,2016-01-29,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel
47,Joshua Berg,Ossining,Surly,NY,2016-01-29,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
48,Josephine Dale,Baldwinsville,Electra,NY,2016-01-30,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
48,Josephine Dale,Baldwinsville,Heller,NY,2016-01-30,2,2641.98,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
48,Josephine Dale,Baldwinsville,Surly,NY,2016-01-30,1,1680.99,Surly Straggler 650b - 2016,Cyclocross Bicycles,Baldwin Bikes,Venita Daniel
48,Josephine Dale,Baldwinsville,Trek,NY,2016-01-30,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
49,Taisha Vang,Shirley,Electra,NY,2016-01-31,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
50,Silas Tate,Corpus Christi,Electra,TX,2016-01-31,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Rowlett Bikes,Kali Vargas
50,Silas Tate,Corpus Christi,Electra,TX,2016-01-31,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Rowlett Bikes,Kali Vargas
50,Silas Tate,Corpus Christi,Surly,TX,2016-01-31,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Rowlett Bikes,Kali Vargas
51,Jamaal Baker,Elmhurst,Electra,NY,2016-02-01,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
51,Jamaal Baker,Elmhurst,Electra,NY,2016-02-01,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel
51,Jamaal Baker,Elmhurst,Electra,NY,2016-02-01,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel
52,Twana Arnold,Anaheim,Electra,CA,2016-02-03,1,499.99,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Santa Cruz Bikes,Mireya Copeland
53,Margit Osborn,Plainview,Electra,NY,2016-02-03,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer
53,Margit Osborn,Plainview,Electra,NY,2016-02-03,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer
53,Margit Osborn,Plainview,Electra,NY,2016-02-03,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer
53,Margit Osborn,Plainview,Trek,NY,2016-02-03,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer
54,Inge Olsen,Long Beach,Electra,NY,2016-02-04,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel
54,Inge Olsen,Long Beach,Surly,NY,2016-02-04,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel
55,Chanel May,Garden City,Electra,NY,2016-02-04,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer
